transaction_id,customer_id,amount,currency,transaction_date,product_id
t001,cust001,120.5,USD,20/09/2025,p100
t002,cust002,85.0,USD,20/09/2025,p200
t003,cust001,20.0,USD,20/09/2025,p100
t004,cust003,45.0,USD,21/09/2025,p300
t005,cust004,300.0,USD,21/09/2025,p400
t006,cust005,10.0,USD,21/09/2025,p500
t0007,cust112,474.92,USD,12/08/2025,p451
t0008,cust286,156.09,USD,26/08/2025,p116
t0009,cust105,322.63,USD,28/08/2025,p747
t0010,cust480,176.85,USD,28/08/2025,p296
t0011,cust278,7.92,USD,08/08/2025,p761
t0012,cust476,400.57,USD,21/08/2025,p698
t0013,cust260,126.23,USD,06/08/2025,p897
t0014,cust255,374.03,USD,27/08/2025,p437
t0015,cust221,457.49,USD,28/08/2025,p142
t0016,cust154,71.02,USD,31/08/2025,p809
t0018,cust415,157.39,USD,20/09/2025,p131
t0019,cust166,92.25,USD,10/08/2025,p733
t0020,cust498,400.14,USD,16/09/2025,p507
t0022,cust181,255.21,USD,01/08/2025,p629
t0023,cust361,241.65,USD,12/09/2025,p303
t0024,cust075,38.79,USD,09/09/2025,p248
t0025,cust357,462.13,USD,07/09/2025,p562
t0026,cust306,162.74,USD,19/09/2025,p744
t0027,cust472,498.81,USD,13/08/2025,p710
t0028,cust298,309.81,USD,06/08/2025,p650
t0029,cust071,100.61,USD,04/09/2025,p481
t0030,cust331,210.79,USD,02/09/2025,p827
t0031,cust110,106.1,USD,15/08/2025,p179
t0032,cust296,487.9,USD,21/09/2025,p362
t0033,cust258,135.49,USD,09/09/2025,p670
t0034,cust239,380.24,USD,02/08/2025,p856
t0035,cust439,169.47,USD,06/08/2025,p872
t0036,cust110,461.25,USD,16/09/2025,p702
t0037,cust173,136.05,USD,03/08/2025,p621
t0039,cust040,145.63,USD,23/09/2025,p778
t0040,cust154,435.11,USD,05/09/2025,p716
t0041,cust359,95.95,USD,11/08/2025,p706
t0042,cust418,26.06,USD,31/08/2025,p554
t0044,cust063,1311.06,USD,15/09/2025,p150
t0045,cust211,133.53,USD,10/08/2025,p746
t0046,cust065,428.06,USD,09/09/2025,p474
t0047,cust146,173.89,USD,26/08/2025,p390
t0048,cust363,147.12,USD,05/08/2025,p305
t0049,cust387,165.96,USD,04/09/2025,p669
t0050,cust049,443.61,USD,11/09/2025,p452
t0051,cust450,1086.82,USD,15/09/2025,p293
t0052,cust254,477.47,USD,06/09/2025,p149
t0053,cust427,332.6,USD,04/08/2025,p615
t0054,cust464,272.17,USD,07/09/2025,p690
t0055,cust321,152.77,USD,12/08/2025,p889
t0056,cust255,838.79,USD,23/08/2025,p629
t0057,cust034,25.47,USD,09/09/2025,p364
t0059,cust159,374.18,USD,03/09/2025,p487
t0060,cust170,63.61,USD,19/08/2025,p391
t0061,cust084,129.77,USD,05/08/2025,p508
t0062,cust121,22.34,USD,21/08/2025,p515
t0063,cust188,887.32,USD,11/09/2025,p714
